St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  209  682 1046]
40,50,20,Mode,40,[   0  209  682 1046]
40,50,20,Median,40,[   0  209  682  787 1046]
40,50,20,Mode,40,[   0  209  682  787 1046]
40,50,20,Median,40,[   0  209  682  787 1046]
40,50,20,Mode,40,[   0  209  682  787 1046]
40,50,20,Median,40,[   0  209  682  787 1046]
40,50,20,Mode,40,[   0  209  682  787 1046]
40,50,20,Median,40,[   0  209  682  787 1046]
40,50,20,Mode,40,[   0  209  682  787 1046]
40,50,20,Median,40,[   0  209  682  787 1046]
40,50,20,Mode,40,[   0  209  682  787 1046]
40,50,20,Median,40,[   0  209  682  787 1046]
40,50,20,Mode,40,[   0  209  682  787 1046]
40,50,20,Median,40,[   0  209  682  782 1046]
40,50,20,Mode,40,[   0  209  682  787 1046]
40,50,20,Median,40,[   0  209  682  782 1046]
40,50,20,Mode,40,[   0  209  682  787 1046]
