St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0 1280 1427]
40,50,20,Mode,40,[   0 1280 1427]
40,50,20,Median,40,[   0 1275 1427]
40,50,20,Mode,40,[   0 1280 1427]
40,50,20,Median,40,[   0 1280 1427]
40,50,20,Mode,40,[   0 1280 1427]
40,50,20,Median,40,[   0 1280 1427]
40,50,20,Mode,40,[   0 1280 1427]
40,50,20,Median,40,[   0 1280 1427]
40,50,20,Mode,40,[   0 1280 1427]
40,50,20,Median,40,[   0 1280 1427]
40,50,20,Mode,40,[   0 1280 1427]
40,50,20,Median,40,[   0 1280 1427]
40,50,20,Mode,40,[   0 1280 1427]
40,50,20,Median,40,[   0 1280 1427]
40,50,20,Mode,40,[   0 1280 1427]
40,50,20,Median,40,[   0 1280 1427]
40,50,20,Mode,40,[   0 1280 1427]
